[2023-02-11 16:06:46,942][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9hvecin0
[2023-02-11 16:06:46,943][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9hvecin0/_remote_module_non_sriptable.py
[2023-02-11 16:06:47,171][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-11 16:06:58,485][cross_view_transformer.tabular_logger][WARNING] - Missing logger folder: /home/goroyeh/GKT/segmentation/logs/lightning_logs
[2023-02-11 16:20:57,784][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013721, train/loss/visible_step:0.013630, train/loss/center_step:0.000908, epoch:2, step:4299
[2023-02-11 16:21:06,673][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009682, train/loss/visible_step:0.009608, train/loss/center_step:0.000743, epoch:2, step:4349
[2023-02-11 16:21:15,558][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011991, train/loss/visible_step:0.011925, train/loss/center_step:0.000659, epoch:2, step:4399
[2023-02-11 16:21:24,452][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.010546, train/loss/visible_step:0.010489, train/loss/center_step:0.000579, epoch:2, step:4449
[2023-02-11 16:21:33,308][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013015, train/loss/visible_step:0.012923, train/loss/center_step:0.000922, epoch:2, step:4499
[2023-02-11 16:21:42,257][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008774, train/loss/visible_step:0.008712, train/loss/center_step:0.000622, epoch:2, step:4549
[2023-02-11 16:21:51,113][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011683, train/loss/visible_step:0.011597, train/loss/center_step:0.000856, epoch:2, step:4599
[2023-02-11 16:22:00,005][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.023652, train/loss/visible_step:0.023517, train/loss/center_step:0.001349, epoch:2, step:4649
[2023-02-11 16:22:08,850][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.010950, train/loss/visible_step:0.010880, train/loss/center_step:0.000703, epoch:2, step:4699
[2023-02-11 16:22:17,814][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013590, train/loss/visible_step:0.013529, train/loss/center_step:0.000603, epoch:2, step:4749
[2023-02-11 16:22:26,703][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013990, train/loss/visible_step:0.013898, train/loss/center_step:0.000920, epoch:2, step:4799
[2023-02-11 16:22:35,619][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015014, train/loss/visible_step:0.014912, train/loss/center_step:0.001018, epoch:2, step:4849
[2023-02-11 16:22:44,449][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.026799, train/loss/visible_step:0.026646, train/loss/center_step:0.001530, epoch:2, step:4899
[2023-02-11 16:22:53,346][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015045, train/loss/visible_step:0.014957, train/loss/center_step:0.000881, epoch:2, step:4949
[2023-02-11 16:23:02,231][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.010646, train/loss/visible_step:0.010578, train/loss/center_step:0.000673, epoch:2, step:4999
[2023-02-11 16:23:11,098][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009432, train/loss/visible_step:0.009378, train/loss/center_step:0.000531, epoch:2, step:5049
[2023-02-11 16:23:19,914][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013118, train/loss/visible_step:0.013036, train/loss/center_step:0.000827, epoch:2, step:5099
[2023-02-11 16:23:28,685][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013072, train/loss/visible_step:0.012979, train/loss/center_step:0.000929, epoch:2, step:5149
[2023-02-11 16:23:37,433][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006841, train/loss/visible_step:0.006793, train/loss/center_step:0.000485, epoch:2, step:5199
[2023-02-11 16:23:46,259][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009137, train/loss/visible_step:0.009084, train/loss/center_step:0.000534, epoch:2, step:5249
[2023-02-11 16:24:23,143][cross_view_transformer.tabular_logger][INFO] - train/metrics/iou@0.40:0.338364, train/metrics/iou@0.50:0.255416, train/metrics/iou_with_occlusions@0.40:0.300025, train/metrics/iou_with_occlusions@0.50:0.201501, val/loss:0.012412, val/loss/visible:0.012344, val/loss/center:0.000678, val/metrics/iou@0.40:0.292856, val/metrics/iou@0.50:0.157058, val/metrics/iou_with_occlusions@0.40:0.257971, val/metrics/iou_with_occlusions@0.50:0.121340, epoch:2, step:5276
[2023-02-11 16:24:23,173][cross_view_transformer.tabular_logger][INFO] - train/loss_epoch:0.011248, train/loss/visible_epoch:0.011178, train/loss/center_epoch:0.000697, epoch:3, step:5276
[2023-02-11 16:24:23,194][cross_view_transformer.tabular_logger][INFO] - lr-AdamW:0.002682, step:5277
[2023-02-11 16:24:28,248][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.005285, train/loss/visible_step:0.005253, train/loss/center_step:0.000314, epoch:3, step:5299
[2023-02-11 16:24:37,464][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008845, train/loss/visible_step:0.008793, train/loss/center_step:0.000520, epoch:3, step:5349
[2023-02-11 16:24:46,678][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008893, train/loss/visible_step:0.008838, train/loss/center_step:0.000557, epoch:3, step:5399
[2023-02-11 16:24:55,748][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.016230, train/loss/visible_step:0.016139, train/loss/center_step:0.000914, epoch:3, step:5449
[2023-02-11 16:25:04,694][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012161, train/loss/visible_step:0.012080, train/loss/center_step:0.000812, epoch:3, step:5499
[2023-02-11 16:25:13,621][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.005199, train/loss/visible_step:0.005169, train/loss/center_step:0.000296, epoch:3, step:5549
[2023-02-11 16:25:22,486][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.005959, train/loss/visible_step:0.005929, train/loss/center_step:0.000302, epoch:3, step:5599
